change|n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换
act|n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作
timeout|null
iplpppqpp|null
handle|n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄
higher|null
xp|null
insertion|n.插入
cwtext|null
xd|null
wi|null
noic|null
keystroke|null
wt|null
initialization|null
nooption|null
noopt|null
wa|null
anababbreviation|null
dw|null
partialchar|null
huuhsh|null
spacebar|null
dh|null
mappings|null
notimeout|null
ttytype|null
trust|vt.信任,信赖,盼望,希望,赊卖,热望,切望n.(～in)信任,信赖
join|vi.参加,结合,加入vt.连接,结合,参加,加入n.连接,结合,接合点[计]用子目录名取代驱动器符
beginner|n.初学者
original|adj.最初的,原始的,独创的,新颖的n.原物,原作
successful|adj.成功的
overwriting|null
arise|vi.出现,发生,起因于
scr|null
nhshhh|null
basis|n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理
anywhere|adv.无论何处
normal|n.正规,常态,[数学]法线adj.正常的,正规的,标准的
completion|n.完成
bt|null
software|n.软件
znumber|null
bf|null
nth|null
tmp|null
append|vt.附加,添加,悬挂[计]设置数据文件的搜索路径
hardtabs|null
sm|null
discontinue|null
noterse|null
cx|null
code|n.代码,代号,密码,编码v.编码
wrapmargin|null
optimize|vt.使最优化
writeany|null
cl|null
pagedown|null
edcompatible|null
enforce|vt.强迫,执行,坚持,加强
rx|null
simulate|vt.模拟,模仿,假装,冒充
ro|null
var|null
wrapscan|null
especially|adv.特别,尤其
backspace|null
supply|n.补给,供给,供应品vt.补给,供给,提供,补充,代理vi.替代他人职务
nobacktags|null
lisp|null
kwan|null
li|null
lin|null
ang|null
fairy|n.仙女,精灵,<美俚>漂亮姑娘adj.仙女的
mr|null
lu|null
yin|null
lo|null
don|n.<西>君,先生(西班牙语冠于男子姓名前),阁下,(英国剑桥或牛津大学)指导教师vt.穿上
yu|null
san|null
hu|null
alas|int.唉
scold|v.责骂,申斥,斥责
servant|n.仆人
mercy|n.仁慈,宽恕,怜悯
ying|null
ki|null
peach|n.桃子,桃树,桃色,<美俚>受人喜欢的人(或物)vt.告发vi.告密
ch|null
promise|vt.允诺,答应n.允诺,答应,许诺
honour|n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉
soldier|n.士兵,军人
blackfoot|null
widow|n.寡妇v.使成寡妇(或鳏夫)
royal|adj.王室的,皇家的,第一流的,高贵的
chow|null
bow|n.弓,乐弓,弓形,鞠躬,船首v.鞠躬,弯腰
prayer|n.祈祷
frightened|adj.受惊的,受恐吓的
ai|null
ko|null
whitehead|null
treasure|n.财宝,财富,珍品,财产vt.珍爱,珍惜,储藏,珍藏
pray|v.祈祷,恳求,请
neng|null
ah|null
finally|adv.最后,终于,不可更改地,决定性地
chang|null
goose|n.鹅,雌鹅,鹅肉,(裁缝用的有长曲柄的)熨斗vt.突然加大油门,嘘骂
cruel|adj.残酷的,悲惨的,使痛苦的
gaze|v.盯,凝视n.凝视
reward|n.报酬,奖金vt.酬劳,奖赏
nan|null
giant|n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的
su|null
pick|n.精选,掘,鹤嘴锄vt.摘,掘,凿,挑选,挖,挑剔vi.摘,掘,凿,挖,挑选v.拾取
known|adj.知名的,大家知道的vbl.know的过去分词
slave|n.奴隶v.辛勤努力
court|n.法院,庭院,朝廷,宫庭,球场,奉承,求爱,殷勤vt.向...献殷勤,追求,设法获得(他人的支持等),博得(喝彩),招致(失败、危险等)vi.求爱
staff|n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员
companion|n.同伴,共事者
punish|vt.惩罚,处罚
beast|n.兽,畜牲,人面兽心的人
kingdom|n.王国,[宗]天国,上帝的统治,领域
leg|n.腿,胫,旅程的一段vi.走,跑
yung|null
princess|n.公主
favourite|adj.特别喜爱的,中意的n.特别喜爱的(或物)
won|vbl.win的过去式和过去分词
pond|n.池塘v.筑成池塘
goodness|n.仁慈,善良
stranger|n.陌生人,门外汉
min|null
slip|n.滑倒,事故,片,纸片vi.滑动,滑倒,失足,减退vt.使滑动,滑过,摆脱,闪开,塞入adj.滑动的,活络的,有活结的abbr.SerialLineInterfaceProtocol,串行线路接口协议,是旧式的协议
slightest|null
suffer|vt.遭受,经历,忍受vi.受痛苦,受损害
advice|n.忠告,建议,[商]通知
rat|n.老鼠
province|n.省(一个国家的大行政区)
skin|n.皮,皮肤,兽皮,皮毛,外皮,外壳v.长皮
decide|v.决定,判决
shu|null
stand|n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受
sorrow|n.悲哀,悲痛
grant|vt.同意,准予,承认(某事为真)～
depart|vi.离开,起程,不按照,逝世adj.过去的,逝世的
pleasure|n.愉快,快乐,乐事,乐趣,意志,愿望
lying|n.说谎adj.躺着的,说谎的
convent|null
chu|null
hiding|n.隐匿,隐藏之事,痛打,隐匿之所
proper|adj.适当的,正确的,固有的,特有的,有礼貌的,正当的,严格意义上的,彻底的
yard|n.院子,码
forehead|n.前额,(任何事物的)前部
jugglers|null
hide|n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰
stream|n.溪,川,流,一股,一串,河流v.流,涌,流注
exclaim|v.呼喊,惊叫,大声叫
thief|n.小偷,贼
worse|n.(人或事)较坏者,更坏的事,更恶劣的事,败北adj.更坏的,更恶劣的adv.更坏地,更恶劣地
company|n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队
sick|n.病人adj.不舒服,有病的,恶心的,厌恶的,渴望的,病态的vt.呕吐,追击,使狗去咬
kite|n.风筝,(微风时使用的)高而轻的帆,<俚>[商]空头支票,试探性行动vi.象风筝一样飞,轻快地移动,使用空头支票vt.使上升,骗钱
pao|null
shore|n.岸,海滨,支撑柱vt.支撑,支持
wisdom|n.智慧,明智的行为,学识,名言,贤人,至理名言
arose|vbl.引发,激起,唤起
phoenix|n.凤凰,长生鸟,完人,完美之物
wu|null
roll|adj.滚动,滚转,(使)摇摆,(使)摇晃,卷起,卷拢vt.辗,轧n.(一)卷,卷形物,摇晃,摆动,名单
joke|n.笑话,玩笑v.(和...)开玩笑
tone|n.音调,音质,语调,色调,状况,品质,语气,气氛vt.调和,增强,以特殊腔调说,配合,定音调vi.颜色调和
capital|n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的
pile|n.堆,大堆,高大建筑,<美口>大量钱财,<美>[核]反应堆,[电]电池组vi.堆起,堆积,积累,挤vt.堆于,累积,堆叠,打桩于,用桩支撑
daddy|n.爸爸
cure|v.治愈,治疗n.治愈,痊愈
break|n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变
slipping|null
kindly|adj.和善的,温和的,好意的,爽快的adv.温和地,亲切地
study|n.学习,研究,学科,试作,论文,求学,努力,书房vt.学习,攻读,研究,考虑,计划vi.学习,试图
childhood|n.孩童时期
sprang|vbl.spring的过去式
anger|n.怒,愤怒v.恼火
snake|n.蛇v.迂回前进
cloud|n.云,烟云,天空,污点vt.以云遮敝,玷污,使黯然vi.乌云密布,阴沉
worm|n.虫,蠕虫,蚯蚓,蜗杆,螺纹,小人物vi.蠕行,慢慢前进vt.使蠕行,慢慢地走,给(烟草作物)除虫
didn|null
meal|n.一餐,一顿饭,膳食,(谷类的)粗粉vi.进餐
float|n.漂流物,浮舟,漂浮,浮萍,彩车vi.浮动,飘浮,散播,摇摆,漂浮,动摇(计划等)付诸实行vt.使漂浮,容纳,淹没,发行,实行,用水注满
mistaken|adj.犯错的,错误的
refuse|vt.拒绝,谢绝n.废物,垃圾
shook|vbl.shake的过去式
begun|vbl.begin的过去分词
closely|adv.接近地
arrive|vi.到达,抵达
satisfied|adj.感到满意的
whatever|pron.凡是...,无论什么adj.无论怎样的,无论哪一种的,什么也
kindness|n.仁慈,亲切,好意,善意
season|n.季,季节v.(使)适应,(使)适用,调味
deed|n.行为,事实,功绩,实行,契约vt.立契转让(旧产等)
sail|v.航行(于)vi.启航,开船n.帆,篷,航行
sister|n.姐妹,姐,女会员,修女,妹vt.姐妹般对待
mrs|null
mud|n.泥,泥浆,泥泞abbr.Multi-UserDungeons,多用户网络游戏abbr.Multi-UserDomuins,多用户领域
pity|v.(觉得)可怜n.憾事,怜悯,同情
roof|n.屋顶,房顶,顶
justice|n.正义,正当,公平,正确,司法,审判,欣赏
terrible|adj.很糟的,极坏的,可怕的,骇人的
sadly|null
attract|vt.吸引vi.有吸引力,引起注意
slight|adj.轻微的,微小的
throw|n.投,掷v.扔,抛,(指马)把骑者摔在地上,使苦恼,惊忧,投掷
doubtless|adj.无疑的,确定的adv.无疑地,确定地,<口>大概、多半
third|num.第三,三分之一
skill|n.技能,,技巧,熟练,巧妙
certainly|adv.的确,(口语)当然,行
thin|adj.薄的,细的,瘦的,稀少的,稀疏的,(液体、气体)稀薄的,淡的,空洞的vt.使变薄,使变细,使稀少,使淡vi.变薄,变细,稀少,变淡adv.薄地,稀疏地,微弱地n.细小部分
hunger|n.饥饿,欲望,渴望v.饥饿
visitor|n.访问者,来宾,游客
worn|adj.用旧的,疲倦的vbl.wear的过去分词
bone|n.骨v.剔除
hook|n.钩,吊钩v.钩住,沉迷,上瘾
tale|n.故事,坏话,流言蜚语,谣言,叙述,传说
cool|n.凉爽,凉爽的空气adj.凉爽,冷静的,无所顾虑的,淡漠的v.使冷,使镇定
battle|n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争
excited|兴奋的
buy|v.买n.购买,买卖
gift|n.赠品,礼物,天赋,才能
raise|n.上升,高地,提出vt.升起,唤起,提高,使出现,解除,饲养,筹集,使复活
gain|n.财物的增加,财富的获取,利润,腰槽,收获vt.得到,增进,赚到,开腰槽于vi.获利,增加
burst|v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲
fashion|n.样子,方式,流行,风尚,时样vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变
forgot|vbl.forget的过去式
pure|adj.纯的,纯粹的,纯净的,无垢的,纯洁的,完美的,抽象的
ve|null
attack|n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击
secret|n.秘密,秘诀,奥秘adj.秘密的,隐秘的,幽静的、
knock|v.敲,敲打,敲击,(使)碰撞n.敲,击,敲打
fat|n.脂肪,肥肉adj.肥大的,丰满的,肥的,胖的,油腻的n.文件分配表vt.养肥,在...中加入脂肪vi.长肥
yesterday|n.昨天adv.昨天
rag|n.抹布,碎屑,石板瓦,破旧衣服,少量vt.揶揄,戏弄,欺负vi.喧闹
silence|n.静,寂静,沉默,静默vt.使沉默,使安静v.压制
lonely|adj.孤独的,寂寞的,偏僻的,人迹罕至的
rid|vt.使摆脱,使去掉
quickly|adv.很快地
graceful|adj.优美的
keeper|n.监护人,管理人,看守人,保管人
sit|v.(使)就座,(使)坐
lesson|n.功课,(一节)课,课程,教训
subject|n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属
duty|n.义务,责任,职责,职务,税
excitement|n.刺激,兴奋,激动,搔动
sailor|n.海员,水手,不大会晕船的人,船员
flesh|n.肉,(供食用的)兽肉,肉体,肉欲,果肉,蔬菜的嫩部,亲属,人体vt.以肉喂(猎犬等),使肥,赋以血肉vi.长胖
stolen|vbl.steal的过去分词
claw|n.爪,脚爪v.抓
fisherman|n.渔民,渔夫
lie|vi.躺,平放,展现,展开,位于v.说谎,躺n.谎话,谎言
deer|n.鹿
eh|null
likely|adj.很可能的,合适的,可靠的,有希望的adv.或许,很可能
badly|adv.严重地,恶劣地
punishment|n.惩罚,处罚,惩处
liquid|n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的
ho|null
ill|adj.有病的,坏的,恶意的,生病
hurt|v.刺痛,伤害,(使)痛心,(使)伤感情,危害,损害,受伤n.伤痛,伤害
dash|n.少量(搀加物),冲撞,破折号,锐气,精力,干劲vi.猛掷,冲撞vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成
centre|n.中心,中央,中心区v.集中
joyfully|adv.喜悦地,高兴地
success|n.成功,成就,胜利,发迹,兴旺
midnight|n.午夜
sharp|n.高调,内行,利刃,骗子adj.锐利的,锋利的,明显的,强烈的,刺耳的,急剧的,精明的,敏捷的adv.整,锐利地,急速地日本夏普公司
bought|vbl.buy的过去式和过去分词adj.买来的
heel|n.脚后跟,踵,跟部
lead|vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯
fan|n.扇子,鼓风机,风扇,迷,狂热者,爱好者vt.煽动,刺激,扇,吹拂vi.飘动,成扇形散开
nose|n.鼻,(飞机、船等的)前端v.侦察出
lowly|adj.地位低的,卑贱的,谦逊的adv.位置低下的,低声地,谦逊地
flow|n.流程,流动,(河水)泛滥,洋溢vi.流动,涌流,川流不息,飘扬vt.溢过,淹没
cave|n.洞穴,窑洞vi.凹陷,投降vt.挖洞,使凹陷
unhappy|adj.不幸的,不快乐的,不适当的
cash|n.现金vt.兑现
nod|v.点头,点...n.点头
chief|n.首领,领袖,酋长,长官,主要部分,最有价值的部分adj.主要的,首要的,首席的,主任的
teach|v.讲授,教授
bedside|null
sitting|null
woodman|null
middle|n.中间,当中adj.中间的,中部的
hidden|vbl.hide的过去分词adj.隐藏的
themselves|pron.他们自己,她们自己,它们自己,他们亲自,她们亲自,它们亲自
slipper|n.拖鞋,制轮器vt.用拖鞋打(孩子等)
elder|n.年长者,老人,父辈adj.年长的,资格老的
farther|adj.更远的,进一步的adv.更远地,再往前地,此外,far的比较级
glad|adj.高兴的,乐意的,感到高兴的
evil|adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶
wave|n.波,波浪,(挥手)示意,致意vi.(挥手)示意,致意,波动,飘动,摇动
west|n.西方,西部adj.西的,西方的adv.向西方
bank|n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯
music|n.音乐,乐曲
sweet|adj.甜的,可受的,美好的,芳香的n.糖果
somewhat|adv.稍微,有点,有些
invite|vt.邀请,引起n.邀请
dr|null
tightly|adv.紧紧地,坚固地
swim|n.游泳,漂浮,潮流,眼花adj.游泳时穿戴的vi.游泳,游,漂浮,旋转,覆盖,充溢,眩晕,浸vt.游过,使浮起adj.游泳时穿戴的
growth|n.生长,种植,栽培,发育,等比级数
region|n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层
surround|vt.包围,环境v.围绕
copper|n.铜,警察
illness|n.疾病,生病
spend|v.花费,消耗,用尽vt.度过,消磨
hark|null
signal|n.信号adj.信号的v.发信号,用信号通知
tie|n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负
quietly|adv.平静地,静静地,寂静地
mix|v.使混和,混淆,混合n.混合
amaze|vt.使吃惊
shot|n.开枪,射击,子弹,炮弹
breathe|v.呼吸,发出
market|n.市场,销路,行情vt.在市场上交易,使上市vi.在市场上买卖
brave|adj.勇敢的
drawing|n.图画,制图,素描术
spoken|adj.口头的,口语的vbl.speak的过去分词
borrow|v.借,借入,借用
classic|n.杰作,名著adj.第一流的
amusement|n.娱乐,消遣,娱乐活动
regain|v.收回,恢复,重到,重新夺得
anxious|adj.观念的,担忧的,渴望的,盼望的
drink|n.饮料,酒,酗酒,一口(或一些)饮料v.喝,喝酒,(植物、土壤等的)吸水,举杯庆贺
beneath|adv.在...之下prep.在...之下
resolve|n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决
soil|n.土壤,土地,国土,国家,温床,粪便,务农vt.弄脏,污辱vi.变脏
calm|adj.(天气、海洋等)静的,平静的,镇静的,沉着的v.(使)平静,(使)镇定,平息
inch|n.英寸(1\12英尺)
missing|adj.不见的,缺少的
six|num.六,六个
sand|n.沙,沙子,沙滩,沙地v.撒沙子
impossible|adj.不可能的,不会发生的,难以忍受的
eager|adj.热心于,渴望着
aren|null
wake|vt.叫醒,激发vi.醒来,醒着,警觉,振奋n.醒,守夜,尾迹,(人,车等经过的)痕迹,守丧
spy|n.特工人员,间谍,侦探,探员,秘密侦察他人行动者v.侦察,侦察,发现
knife|n.刀,餐刀
forgetting|null
mumble|n.喃喃而语,咕哝,闭嘴细嚼v.喃喃而语,咕哝
flight|n.飞行,逃走,飞跃,飞机的航程,班机,追逐,楼梯的一段,射程vi.成群飞行,迁徙vt.射击(飞禽),使惊飞
relative|n.亲戚,关系词,相关物,亲缘植物adj.有关系的,相对的,比较而言的
war|n.战争vi.作战,打仗
smaller|null
poet|n.诗人
snow|n.雪vi.下雪
brain|n.脑,头脑
moonlight|n.月光adj.月光的,月夜的
breakfast|n.早餐vi.进早餐
brick|n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人
selfish|adj.自私的
wing|n.翅,翅膀,翼,飞翔,机翼,派别vt.装以翼,飞过,使飞,空运,增加...速度vi.飞,飞行
fit|n.突然发作,适合,痉挛,一阵adj.合适的,恰当的,健康的,,准备好的vt.适合,安装,使合身,使适应,使合格vi.适合,符合
fine|adj.美好的,优良的,杰出的,精美的,杰出的,细,纤细,纯粹n.罚款,罚金,晴天,精细vt.罚款,精炼,澄清vi.变清,变细adv.<口>很好,妙,[常用于构成复合词]细微地,精巧地
mistake|n.错误,过失v.弄错,误解,把...误认为
outer|adj.外部的,外面的,远离中心的n.(射击)环外命中
horn|n.(牛、羊等的)角,喇叭,触角v.装角
queen|n.王后,女王
bill|n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单
hey|int.嗨!
pet|n.宠物,受宠爱的人,不悦adj.宠爱的,亲昵的vt.宠爱vi.拥抱,爱抚,生气,发脾气
winter|n.冬,冬季,萧条期,衰退期adj.冬天的vt.对...进行冬天保护vi.过冬
useless|adj.无用的,无效的,无益的,无价值的
baby|n.婴孩
bury|vt.埋葬,掩埋,隐藏
anxiously|adv.忧虑地,不安地
eaten|null
ball|n.球,球状物,子弹,舞会,尽情地玩
prison|n.监狱
doesn|null
pork|n.猪肉,<美俚><粗>与(女子)性交
affair|n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事
lid|n.盖子,<美口>限制,眼睑vt.给...盖盖子
fasten|vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于vi.扣紧,抓住
deaf|adj.聋的
bedroom|n.卧室
chosen|null
stole|vbl.steal的过去式n.女用披肩,圣衣,长巾
game|n.比赛,游戏,竞赛,[复]运动会,玩耍,比分,比赛规则,策略vi.赌博adj.勇敢的,有胆量的,关于野味的,跛的
lose|vt.遗失,浪费,错过,输去,使失去,使迷路,使沉溺于vi.受损失,失败
weigh|vt.称...重量,称vi.重(若干)
dry|adj.干的,干燥的,口渴的vt.(使)干燥,(使)变干v.干燥
shake|v.摇动,摇,颤抖,震动n.摇动,摇,颤抖,震动
hate|vt.憎恨,恨,不愿,不喜欢n.憎恶,憎恨v.憎恨,讨厌,不愿
alive|adj.活着的,活泼的
touch|n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到
native|n.本地人,土产,土人adj.本国的,出生地的,本地的,与生俱来的,天赋的,土产的,土著的
speech|n.演说,讲话语音
occasion|n.场合,时机,机会
peace|n.和平,和睦,安宁,静寂vi.安静下来
puzzled|迷惑
rank|n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数]秩
element|n.要素,元素,成分,元件,自然环境
branch|n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧
endless|adj.无止境的,无穷的
square|n.正方形,广场,平方,直角尺adj.正方形的,四方的,直角的,正直的,公平的,结清的,平方的,彻底的adv.成直角地,正直地,公平地,坚定地v.使成方形,弄平,使直,与...一致,符合,自乘,结算
polite|adj.有礼貌的,客气的,有教养的,文雅的
violent|adj.猛烈的,激烈的,暴力引起的,强暴的
prisoner|adj.囚犯的n.战俘
rate|n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂
daily|adj.每日的,日常的adv.每日,日常地,天天n.日报,<美口>朝来夜去的女佣
nowhere|adv.无处,到处都无
terribly|adv.可怕地,十分,极
isn|null
lightning|n.闪电(“闪电”)英国第一种超音速喷气式战斗机，英60年代的主力机种。
rub|v.擦,摩擦rt.(～along)和谐相处,(～off)擦掉,擦破,(～out)把(记号,笔记,笔迹等)擦掉
teacher|n.教师
swimming|null
dirty|adj.肮脏的,卑鄙的,下流的,暴风雨的,恶劣的(天气)vt.弄脏vi.变脏
bathe|v.沐浴,洗,(光线)充满n.洗澡
arrange|v.安排,排列,协商
wet|adj.湿的,潮湿的,有雨的,多雨的vt.弄湿
violently|adv.猛烈地,激烈地,极端地
experience|n.vt.经验,体验,经历,阅历
backwards|adv.向后
wedding|n.婚礼,婚宴,结合,结婚典礼
permit|n.通行证,许可证,执照v.许可,允许,准许
deeply|adv.深深地
chat|v.聊天n.聊天
poem|n.诗,象诗一样,美丽的东西
worst|adj.最坏的,最差的adv.最坏,最差
twelve|num.十二
figure|n.外形,轮廓,体形,图形,画像,数字,形状,身份vt.描绘,塑造,表示,象征,演算,认为vi.出现,考虑,出名,扮演角色
direct|adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥
unable|adj.不能的,不会的
nest|n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具vi.筑巢,找鸟巢vt.造巢,使套入
unfortunate|adj.不幸的,不合宜的,不吉利的,使人遗憾的n.不幸的人
tap|n.轻打,活栓,水龙头vt.轻打,轻敲,敲打出,开发,分接,使流出,选择,攻螺纹于vi.轻叩,轻拍,轻声走n.<美>(用复数)熄灯号
title|n.头衔,名称,标题,冠军,资格,字幕,权利,扉页vt.赋予头衔,加标题于adj.标题的,用作书名的
cloth|n.布,织物,衣料
please|adj.满足的vt.请v.使喜欢,中...的意,使满足,取悦
pleased|adj.高兴的,满足的
murder|n.谋杀,凶杀vt.谋杀,凶杀v.谋杀
heavily|adv.很重地,沉重地
tall|adj.高的,长的,夸大的adv.<俚>夸大地
clean|adj.清洁的,干净的,清白的v.打扫,使干净,清扫
dozen|n.一打,十二个
greet|vt.问候,向...致意,获悉(消息),映入眼帘
appoint|vt.约定,指定(时间,地点),任命,委任
arrest|vt.逮捕,拘留,吸引n.逮捕,拘留
sport|n.运动,运动会
hunt|v.打猎,猎取,搜索,搜寻,猎获n.打猎,猎取,搜索,搜寻,狩猎
sunshine|n.阳光
crane|n.起重机
seek|v.寻找,探索,寻求
practice|n.实行,实践,实际,惯例,习惯,练习,实习,开业
belt|n.带子,地带
extra|adj.额外的,不包括在价目内的,特大的,特佳的adv.特别地,非常,另外n.额外的人(或物),(报纸)号外,上等产品,(电影)临时演员
self|n.自己,自我,本性,本质,本人,私心vt.使近亲繁殖,[植]使自花授精vi.[植]自花授精adj.同一的
silk|n.丝绸
satisfy|vt.满足,使满意,说服,使相信v.满意,确保
seldom|adv.很少,不常
holiday|n.假日,节日,假期
suggestion|n.提议,意见,暗示,微量
straight|adj.直的,诚实的,正直的,率直的,整齐的adv.直,直接,一直
clothing|n.衣服
disappoint|vt.使失望
chicken|n.小鸡,小鸟,鸡肉
elephant|n.象,一种纸张的尺寸
hi|int.嗨!(引人注意时的喊声,打招呼)
disappointment|n.失望
simple|adj.简单的,简易的,朴素的,简朴的,天真的,率直的,无经验的,易受骗的
kick|v.踢n.踢
reader|n.读者,读物,读本,读卡机
darling|n.心爱的人,亲爱的
shop|n.商店,店铺vi.买东西,购货
fool|n.愚人,白痴,莽汉,受骗者,奶油拌水果vt.愚弄,欺骗,浪费vi.干傻事,开玩笑,游荡adj.傻的
lack|n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有
await|vt.等候
fresh|adj.新鲜的,无经验的,生的,冒失的,鲜艳的adv.最新地,刚刚n.开始,泛滥
enemy|n.敌人,仇敌,[集合名词]敌军,[喻]大敌adj.敌人的,敌方的
angrily|adv.愤怒地
ignorance|n.无知,不知
conversation|n.会话,交谈
invisible|adj.看不见的,无形的
fancy|adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力
station|n.位置,岗位,地位,身份,...局,...站vt.驻扎,配置
alike|adj.相同的,相似的adv.以同样的方式,类似于
dine|vi.吃饭,进餐
flush|n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟adj.挥霍的,直接的,丰足的,泛滥的adv.齐平地,直接地vi.(脸)发红,奔涌,充沛,惊飞vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动
border|n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤
apple|n.苹果,似苹果的果实
admire|v.赞美,钦佩,羡慕
adventure|n.冒险,冒险的经历v.冒险
grandchildren|null
grandson|n.孙子
quarter|n.四分之一,方向,地区,方面,季,季度,一刻钟num.四分之一,刻
attempt|n.努力,尝试,企图vt.尝试,企图
alarm|n.警报,惊慌,警告器vt.恐吓,警告
drag|v.拖,拖曳,缓慢而费力地行动n.拖拉
chain|n.链(条),镣铐,一连串,一系列vt.用链条拴住
soften|v.(使)变柔软,(使)变柔和
town|n.市镇,城镇
ocean|n.大海,海洋,许多,广阔
stupid|adj.愚蠢的,麻木的,乏味的
arrival|n.到来,到达,到达者
nine|num.九,九个
chew|vt.咀爵(食物等)v.咀嚼,认真考虑
plenty|n.丰富,大量
employe|(employee)n.雇工,从业员
mice|n.老鼠
frog|n.青蛙vi.捕蛙
worry|n.烦恼,忧虑,苦恼,撕咬vt.使烦恼,使焦虑,使苦恼,撕咬,困扰,折磨vi.烦恼,担心,撕咬,挣扎着前进
born|adj.天生的,原本,天生就...的vbl.出生
lucky|adj.幸运的,吉祥的,侥幸的
eldest|adj.最年长的,年事最高的
poison|n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒
fun|n.娱乐,玩笑,嬉笑,有趣的人或事物vi.开玩笑adj.供娱乐用的
weather|n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨
rude|adj.粗鲁的,无礼的,猛烈的,残暴的,粗鲁无礼的
humour|n.幽默,诙谐
party|n.党,政党,随行人员,[律]当事人,社交会
friendship|n.友谊,友好
gentleman|n.阁下,先生,有身分的人,绅士,男厕所,男盥洗室
crack|n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的
earn|vt.赚,挣得,获得v.赚得,获得
fourteen|num.十四
car|n.汽车,小汽车,车辆,客车,[铁]车厢
fifty|adj.五十
fifth|adj.第五的
coin|n.硬币vt.铸造(硬币)
swimmer|n.游泳者
ice|n.冰冻食品vt.冰冻,覆以冰vi.结冰abbr.[军]IntenalCombustionEngine,内燃机
int|null
static|adj.静态的,静力的静电噪声
method|n.方法
java|null
parseint|null
binary|adj.二进位的,二元的
unsigned|null
parse|vt.解析n.分列
nm|null
val|null
tostring|null
valueof|null
getinteger|null
getproperty|null
decode|vt.解码,译解
detail|n.细节,详情vt.详述,细说
rotate|v.(使)旋转
hexadecimal|null
max|null
lowest|null
signum|null
highest|null
